Id;Etiqueta;Latitude;Longitude;Rated Power;Rated Voltage;Power Factor
314871;00000j;-15,78968967;-47,88872947;60;220;0,93
619733;0000p1;-15,83794303;-47,96172125;60;220;0,93
370740;0000p2;-15,83690272;-47,96568675;60;220;0,93
674597;4588;-15,86336667;-47,95869167;60;220;0,93
660193;00Whes;-15,79709833;-47,89213;60;220;0,93
659546;0TESTE;-15,77636444;-47,86399419;60;220;0,93
310373;310373;-15,857786;-47,954516;60;220;0,93
310375;310375;-15,858046;-47,954572;60;220;0,93
310376;310376;-15,85785631;-47,95462789;60;220;0,93
675019;310427;-15,83135825;-48,09682422;60;220;0,93
310560;310560;-15,857815;-47,96747972;60;220;0,93
310570;31.057.000.000.000.000;-15,85791953;-47,967242;60;220;0,93
310607;310607;-15,85684458;-47,96670422;60;220;0,93
310608;310608;-15,85652914;-47,96654864;60;220;0,93
310627;310627;-15,85736;-47,963884;60;220;0,93
310646;310646;-15,85513619;-47,963677;60;220;0,93
310962;310965;-15,82506;-48,120184;60;220;0,93
671749;311094;-15,83581047;-48,03329072;60;220;0,93
671757;311134;-15,83480508;-48,01756761;60;220;0,93
671760;311138;-15,83713033;-48,02106589;60;220;0,93
311307;311307;-15,82262219;-47,98144731;60;220;0,93
311314;311314;-15,82330283;-47,98189289;60;220;0,93
311315;311315;-15,82307539;-47,98200453;60;220;0,93
311316;311316;-15,82294572;-47,98224158;60;220;0,93
311356;311356;-15,81807644;-47,98704742;60;220;0,93
404181;311666;-16,03184175;-48,05892761;60;220;0,93
404214;311672;-16,031244;-48,05980569;60;220;0,93
404221;311674;-16,031013;-48,060152;60;220;0,93
